S.No,"Name, Address & email Id of the Unit",Contact Person Name & Contact No.,Category (Manufacturer / Supplier),Product Name,Stock in Hand (In Nos.),Production Capacity per Week ( In Nos.),Remarks
525,"M/s OMHEALTHY,3/273, Bharathydasan Street, Ananda Nagar, Santhosapuram,Chennai 600 073lakshmi@omhealthy.co.in",S. V. Lakshmi9884818520,Manufacturer,Fowler Cot,20,75,"We are the manufactures & suppliers of covid-19 products like Gowns, masks, gloves, test & PPE Kits, shields, Sanitizer & Dispenser, Sanitizer tunnels, guards"
526,"M/s Praxair India Private Limited,F-17, SIPCOT, Industrial Park, Sriperumbudur, Kancheepuram Dt. 602106gunjan_sandu@praxair.com",Karthik9380222497,Manufacturer,Medical Oxygen,840,5040,
527,"M/s OMHEALTHY,3/273, Bharathydasan Street, Ananda Nagar, Santhosapuram,Chennai 600 073lakshmi@omhealthy.co.in",S. V. Lakshmi9884818520,Manufacturer,Hospital Matresses,150,200,"We are the manufactures & suppliers of covid-19 products like Gowns, masks, gloves, test & PPE Kits, shields, Sanitizer & Dispenser, Sanitizer tunnels, guards"
528,"M/s Nithiya Non Woven,Nithiya Non Woven
Plot No. 20, 
Door No. 24/Atchukattu Village, Sri Moogambigai Nagar,
Olimugamadhu Pettai, Kanchipuram-631502

GST : 33AFQPN5835D1ZCsknithiya@gmail.com",Senthil Velan9042700014,Manufacturer,3Ply Surgical Masks,300000,150000,
529,"M/s OMHEALTHY,3/273, Bharathydasan Street, Ananda Nagar, Santhosapuram,Chennai 600 073lakshmi@omhealthy.co.in",S. V. Lakshmi9884818520,Manufacturer,Pillows,200,150,"We are the manufactures & suppliers of covid-19 products like Gowns, masks, gloves, test & PPE Kits, shields, Sanitizer & Dispenser, Sanitizer tunnels, guards"
530,"M/s STAR PAC INDIA,AC22B, SIDCO, THIRUMUDIVAKKAM, CHENNAI 600044rrk@starpacindia.com",RR Kumar9382342357,Manufacturer,VENTILATOR,0,5,WE ARE MANUFACTURERS OF THE SANITISER IN SINGLE DOSE SACHETS. WE HAVE ALSO DEVELOPED A VENTILATOR AND AWAITING GOVT CLEARANCES TO MANUFACTURE
531,"M/s EUKPRO BIOTECH PRIVATE LIMITED,A1-18/21, 4TH MAIN ROAD, NEW COLONY, CHROMPET, CHENNAI - 44info@eukpro.com",Dr. C. Ramprasath8760123457,Manufacturer,Sanitizer (Alcohol Based),2000,70000,
532,"M/s Dhanalakshmi Engineering Works,Plot No:25,Vandalur to Walajabhad Road,Vanchuvancherry,Padappai(Opp to Rrase College Of Eng)dew.works.m@gmail.com",MADHAN RAJ E9094305562,Manufacturer,VENTILATOR,15,20,WE ARE IN INITIAL SETUP STAGES
533,"M/s STAR PAC INDIA,AC22B, SIDCO, THIRUMUDIVAKKAM, CHENNAI 600044rrk@starpacindia.com",RR Kumar9382342357,Manufacturer,Sanitizer (Alcohol Based),0,500000,WE ARE MANUFACTURERS OF THE SANITISER IN SINGLE DOSE SACHETS. WE HAVE ALSO DEVELOPED A VENTILATOR AND AWAITING GOVT CLEARANCES TO MANUFACTURE
534,"M/s OMHEALTHY,3/273, Bharathydasan Street, Ananda Nagar, Santhosapuram,Chennai 600 073lakshmi@omhealthy.co.in",S. V. Lakshmi9884818520,Manufacturer,Sanitizer (Alcohol Based),500,2500,"We are the manufactures & suppliers of covid-19 products like Gowns, masks, gloves, test & PPE Kits, shields, Sanitizer & Dispenser, Sanitizer tunnels, guards"
535,"M/s ACACIA INTERNATIONAL,NO.48, 49, 50, RAJESHWARI STREET, SANTOSH NAGAR, KANDANCHAVADI, CHENNAI-600096swami@acaciabags.com",SWAMINATHAN9840861583,Manufacturer,PPE KITS,0,5000,we are bags manufacturer willing to produce protective gears like medical coat for doctors. we can start immediate production having fullfledge factory setup
536,"M/s Dhanalakshmi Engineering Works,Plot No:25,Vandalur to Walajabhad Road,Vanchuvancherry,Padappai(Opp to Rrase College Of Eng)dew.works.m@gmail.com",MADHAN RAJ E9094305562,Manufacturer,Hospital Matresses,20,30,WE ARE IN INITIAL SETUP STAGES
537,"M/s SANJHAN SYNERGY,willguru0@gmail.com",GURU PRASATH9600042186,Manufacturer,Fowler Cot,50,500,
538,"M/s MASHIV MOULDS DIES,16 IDPL ROAD VASNTHAN NAGAR NANDAMBAKKAM CHENNAI 600089mashivmould@yahoo.com",vignesh s9840652837,Manufacturer,Sanitizer (Alcohol Based),1,1,WE ARE MANUFACTURER SANITIZER CAP MOULD DIE WE ARE NOT MANUFACTRE ALCOHOL BASE SANITIZER ONLY MOULD DIE
539,"M/s Checkitout Solutions,Ganapathi Towers ,Kelambakkam Bus Terminal , Kelambakkam ,Chennai 603103info@checkitoutsolutions.com",Gnanasekaran M7305777305,Manufacturer,PPE KITS,10,100,UVc Sanitization Box Manufacturer
540,"M/s EURO LEDER FASHION LTD,NO.11  K.M.ADAM STREET, NAGALKENI
CHROMPET, CHENNAI - 600044admin@euroleder.com",MR. LAKSHMANAN9282115034,Manufacturer,3Ply Surgical Masks,20000,120000,WE ARE PLANNING TO MAKE 2 AND 3PLY GOOD QUALITY MASK
541,"M/s PMS LEATHER GOODS,No68A, Olimohamed pettai,
Kanchipuram 631502.pmsgoods1@gmail.com",GOKULNATH J9500603641,Manufacturer,3Ply Surgical Masks,1000,7000,I’m doing Leather goods manufacturing in rural area Kanchipuram. We are willing to produce mask 1000pcs per day against orders.
542,"M/s Phoenix Medical Systems Private Limited,DP42 2nd Main Road SIDCO Thirumudivakkam Chennai600132venkat@pmsind.com",Venkatesan.N9380203040,Manufacturer,VENTILATOR,10,50,At present we received an order for 2000+ Ventilators from Govt of India and pls check with us before placing your order.
543,"M/s Devruya Pharmaceuticals,3/275, Bharathydasan Street, Ananda Nagar, Santhosapuram, Chennai 600073devruya7484@gmail.com",Vishwanathan Chidambaram Iyer9884283520,Manufacturer,COVID TESTING KITS,1000,1000,"We are the manufactures & suppliers of covid-19 products like Gowns, masks, gloves, test & PPE Kits, shields, Sanitizer & Dispenser, Sanitizer tunnels, guards"
544,"M/s K P Sharvin Exim Solutions,12/49, kullappan street Kanchipuram 631502kpsargunan@gmail.com",P. Sargunan9944369695,Manufacturer,PPE KITS,2500,7500,Web site : www.kpsharvineximsolutions/indiamart.com
545,"M/s Devruya Pharmaceuticals,3/275, Bharathydasan Street, Ananda Nagar, Santhosapuram, Chennai 600073devruya7484@gmail.com",Vishwanathan Chidambaram Iyer9884283520,Manufacturer,PPE KITS,1000,1000,"We are the manufactures & suppliers of covid-19 products like Gowns, masks, gloves, test & PPE Kits, shields, Sanitizer & Dispenser, Sanitizer tunnels, guards"
546,"M/s Devruya Pharmaceuticals,3/275, Bharathydasan Street, Ananda Nagar, Santhosapuram, Chennai 600073devruya7484@gmail.com",Vishwanathan Chidambaram Iyer9884283520,Manufacturer,3Ply Surgical Masks,100000,25000,"We are the manufactures & suppliers of covid-19 products like Gowns, masks, gloves, test & PPE Kits, shields, Sanitizer & Dispenser, Sanitizer tunnels, guards"
547,"M/s Air Liquide Medical Systems Pvt Ltd,Plot no 36, Annai Indira Nagar, Okkiyam Thoraipakkam, Chennai, Tamil Nadu, India – 600097jayaprakash.d@airliquide.com",Jayaprakash D9840900541,Manufacturer,VENTILATOR,,,"Air Liquide Medical Systems Pvt. Ltd. based in Chennai trades in ventilators imported from France as well as manufactures ventilators indigenously for intensive care.   
 
We have over 40 years of service to health professionals and patients. We have a large sales and service support network across the country with over 4000 installations. Some of our prime customers include AIIMS Delhi, where we have sold over 500 ventilators. 
 
We value your account, and we would like to support you very much during the current pandemic of Coronavirus ( COVID-19 ). 
However we would like to highlight that at present our Assembly line is overloaded and we are booked with existing rate contract orders from various Government Hospitals & Procurement pan-India 
In this prevailing situation where section 144 has been imposed, both by the Central & State Governments, there is a disruption of Supply Chain & Transportation for the past 2 months- Raw material, accessories and spare parts are not readily available to manufacture and deliver. Additionally, some of the raw materials used to manufacture ventilators were being imported from France, Italy, China, etc. 
In view of the above constraints, we propose the following delivery schedule:
a)    OEM ICU Ventilators tentative delivery schedule will be 10-12 weeks
b)    Imported Ventilators tentative delivery schedule will be 12-16 weeks 
Payment terms: 100% payment against Order / against readiness of material"
548,"M/s CY4 DIGITAL TWIN PRODUCTS & SOLUTIONS PRIVATE LIMITED,CY4, No -10A ,1st Cross Street
Sidco Industrial Estateshyam@cy4.in",Shyam Sundar8056256069,Manufacturer,PPE KITS,3000,21000,"Hi Sir, 

This Shyam, Co-Founder of CY4 Digital Twin Products & Solutions Pvt Ltd, partnered with another start-up Axis Defense Labs, incubated at IIT Madras to design &"
549,"M/s Devruya Pharmaceuticals,3/275, Bharathydasan Street, Ananda Nagar, Santhosapuram, Chennai 600073devruya7484@gmail.com",Vishwanathan Chidambaram Iyer9884283520,Manufacturer,KN95 Masks / N95 Masks,1000,5000,"We are the manufactures & suppliers of covid-19 products like Gowns, masks, gloves, test & PPE Kits, shields, Sanitizer & Dispenser, Sanitizer tunnels, guards"
550,"M/s V DESIGN,No. 10 Ananda Nilayam Road
Nehru Nagar
Chromepet
Chennai 600044contact@v-design.co.in",Vedhavalli Vasan7338784240,Manufacturer,PPE KITS,25,5000,"We have the capacity to produce 2,00,000 pcs (Two lacs) per annum of  COVER SUIT  & LEGGINGS."
551,"M/s Devruya Pharmaceuticals,3/275, Bharathydasan Street, Ananda Nagar, Santhosapuram, Chennai 600073devruya7484@gmail.com",Vishwanathan Chidambaram Iyer9884283520,Manufacturer,Fowler Cot,25,50,"We are the manufactures & suppliers of covid-19 products like Gowns, masks, gloves, test & PPE Kits, shields, Sanitizer & Dispenser, Sanitizer tunnels, guards"
552,"M/s Swastimed Industries,No 9/99, Agaram Main Road, Agaramthen, Paduvancherry, Chennai 600126swastimedat@gmail.com",8754543314,Manufacturer,3Ply Surgical Masks,50000,100000,We only use material that is approved and accredited by Indian Government nominated testing labs.
553,"M/s EURO LEDER FASHION LTD,10 P P AMMAN KOIL STREET, NAGALKENI
CHROMPET, CHENNAI-600044admin@euroleder.com",MR. LAKSHMANAN9282115034,Manufacturer,3Ply Surgical Masks,80000,1000000,"PLANNING TO MAKE 3PLY MASK PRODUCTION WITH GOOD QUALITY,"
554,"M/s Violin Technologies Private Limited,Plot No.149, 12th Main Road, SIDCO Industrial Estate,
Thirumudivakkam, Chennai - 600044lokesh.v@violintec.com",Lokesh Venkatanarayanan7338883343,Manufacturer,VENTILATOR,0,500,We are manufacturing partners  of Ventilators designed by Kriti Kare India Private Ltd
555,"M/s Devruya Pharmaceuticals,3/275, Bharathydasan Street, Ananda Nagar, Santhosapuram, Chennai 600073devruya7484@gmail.com",Vishwanathan Chidambaram Iyer9884283520,Manufacturer,Hospital Matresses,100,100,"We are the manufactures & suppliers of covid-19 products like Gowns, masks, gloves, test & PPE Kits, shields, Sanitizer & Dispenser, Sanitizer tunnels, guards"
556,"M/s Devruya Pharmaceuticals,3/275, Bharathydasan Street, Ananda Nagar, Santhosapuram, Chennai 600073devruya7484@gmail.com",Vishwanathan Chidambaram Iyer9884283520,Manufacturer,Pillows,100,100,"We are the manufactures & suppliers of covid-19 products like Gowns, masks, gloves, test & PPE Kits, shields, Sanitizer & Dispenser, Sanitizer tunnels, guards"
557,"M/s Devruya Pharmaceuticals,3/275, Bharathydasan Street, Ananda Nagar, Santhosapuram, Chennai 600073devruya7484@gmail.com",Vishwanathan Chidambaram Iyer9884283520,Manufacturer,Sanitizer (Alcohol Based),1000,5000,"We are the manufactures & suppliers of covid-19 products like Gowns, masks, gloves, test & PPE Kits, shields, Sanitizer & Dispenser, Sanitizer tunnels, guards"
558,"M/s OMHEALTHY,3/273, Bharathydasan Street, Ananda Nagar, Santhosapuram,Chennai 600 073lakshmi@omhealthy.co.in",S. V. Lakshmi9884818520,Manufacturer,COVID TESTING KITS,500,1000,"We are the manufactures & suppliers of covid-19 products like Gowns, masks, gloves, test & PPE Kits, shields, Sanitizer & Dispenser, Sanitizer tunnels, guards"
559,"M/s EURO LEDER FASHION LTD,VADATHAVOOR, KUNNAVAKKAM MAIN ROAD
UTHIRAMERUR, KANCHIPURAM,603407office@euroleder.com",karuppasamy9282115034,Manufacturer,3Ply Surgical Masks,25000,40000,We are manufacturers and suppliers of 3ply Facemask with ready stock for immediate requirement. Capable to Supply Sufficient qty's of mask
560,"M/s LIFE LINKZ,11-13, THILLAI NATARAJA NAGAR, SIKKARAYAPURAM, KUNDRATHUR , CHENNAI 600069.sudhakar@life-linkz.com",SUDHAKAR.K9940025941,Manufacturer,PPE KITS,500,3000,WE ARE BASICALLY MANUFACTURERS OF FIRST AID KITS AND HOSPITAL DISPOSABLES WITH NECESSARY LICENSE NOW MANUFACTURING  PPE KITS.
561,"M/s OMHEALTHY,3/273, Bharathydasan Street, Ananda Nagar, Santhosapuram,Chennai 600 073lakshmi@omhealthy.co.in",S. V. Lakshmi9884818520,Manufacturer,PPE KITS,1500,2000,"We are the manufactures & suppliers of covid-19 products like Gowns, masks, gloves, test & PPE Kits, shields, Sanitizer & Dispenser, Sanitizer tunnels, guards"
562,"M/s EURO LEDER FASHION LTD,R N KANDHIKAI, VANDAVASI MAIN ROAD, UTHIRAMERUR,KANCHIPURAM-603406office@euroleder.com",karuppasamy9282115034,Manufacturer,3Ply Surgical Masks,80000,700000,We are manufacturers and suppliers of 3ply Facemask with ready stock for immediate requirement. Capable to Supply Sufficient qty's of mask
563,"M/s OMHEALTHY,3/273, Bharathydasan Street, Ananda Nagar, Santhosapuram,Chennai 600 073lakshmi@omhealthy.co.in",S. V. Lakshmi9884818520,Manufacturer,3Ply Surgical Masks,75000,20000,"We are the manufactures & suppliers of covid-19 products like Gowns, masks, gloves, test & PPE Kits, shields, Sanitizer & Dispenser, Sanitizer tunnels, guards"
564,"M/s Hi Tech Air Products,o.3/160A, MGR Nagar, Karasangal, Mannivakkam-Oragadam Main Road, Kanchipuram. 602301hytechairproducts@gmail.com",Kannan9080161615,Manufacturer,Medical Oxygen,50,420,
565,"M/s Tci freight,Tci freight shop no 24 surya devi complex oragadam kanchipuramorgm@tcifreight.in",Arun tiwari7011642707,Supplier,PPE KITS,10,10,Transporation
566,"M/s ABP MEP ENGINEERS,TS1,SIDCO INDUSTRIAL ESTATE,CHENNAI 600044praveen@abpenc.com",Praveen Kumar9600021986,Manufacturer,PPE KITS,500,1000,PUBLIC DISINFECTION BOOTH with the facility of hand wash and mask disposal
567,"M/s Rajguru Adhesive Tape Company Pvt Ltd.,S-57, Sipcot Pillaipakkam Industrial Park, Vengadu Village, Sriperambadur, Kancheepuramkunal@bmshahgroup.com",kunal9940566772,Manufacturer,PPE KITS,10000,10000,
568,"M/s Air Pack Gases,Plot No. 173, Vadakkal B Village, Near Super Gas Backside, Sriperumbudur Tk., Kancheepram Dt. 602105airpackgases@gmail.com",Murali9843984215,Manufacturer,Medical Oxygen,60,420,
569,"M/s SRI VISHNU AGENCIES,33&34 Sidco Industrial Estate,
Thirumudivakkam,
Chennai-138srivishnu.biobags@gmail.com",S.Karthikgai Raja9840943077,Supplier,Sanitizer (Alcohol Based),50,500,
District Name: Kanniyakumari,,,,,,,
570,"M/s GANATHI CRAFTS,35/21 KADAI THERU
PADMANABHAPURAM
THUCKALAY POST 629175thrighan@yahoo.com",M MURUGADHAS8870658773,Supplier,3Ply Surgical Masks,100000,200000,Timely supply  at reasonable prices
571,"M/s VIVA BAGS,8/92,santhapuram & post,Kanyakumari  Dist.vivanwbags@gmail.com",Vinothkumar Gayathri9884413030,Manufacturer,3Ply Surgical Masks,5000,200000,
572,"M/s MEDILINKS INDIA,22-76D2,MAIN ROAD, METTUKADAI
THUCKALAY, KANYAKUMARI DIST, PIN : 629175medilinksindia@rediffmail.com",RATHEESH SR9442225811,Manufacturer,3Ply Surgical Masks,50000,50000,MANUFACTURING WITH FULLY AUTOMATED MACHINES IN A HYGENIC ATMOSPHERE AND ALL MASKS ARE UV STERILISED
573,"M/s Vaigunth Enertek (P) Ltd,No 144 G Venkalaragan Fort Road
Pothayadi,info@v-enertek.com",Manoharan9940079466,Manufacturer,3Ply Surgical Masks,10,1,We are Manufacturer of Medical Mask Incinerator
574,"M/s AR PAPER BAGS,188/1 muhilnvillai,mnaikettipottal,nagercoilaltimateanand@yahoo.com",Aundychettiar9585545068,Supplier,Sanitizer (Alcohol Based),3000,5000,
575,"M/s BAIRAVI Foundation,1332/4, 2nd street, Singarathoppu, Parvathipuram, Nagercoil-3, kanniyakumari.bairavifoundation@gmail.com",C. Shoba7530093175,Manufacturer,3Ply Surgical Masks,25000,50000,Prompt and quick supply
576,"M/s MEDILINKS INDIA,22-76D2,MAIN ROAD, METTUKADAI
THUCKALAY, KANYAKUMARI DIST, PIN : 629175medilinksindia@rediffmail.com",RATHEESH SR9442225811,Manufacturer,KN95 Masks / N95 Masks,0,50000,MANUFACTURING WITH FULLY AUTOMATED MACHINES IN A HYGENIC ATMOSPHERE AND ALL MASKS ARE UV STERILISED
577,"M/s Pothigai Siddhar Devaamirth,3/93B First floor Anantha vilas Church street Konamkadu 629803psdevaamirth@gmail.com",Thulasi Moni9597178514,Manufacturer,3Ply Surgical Masks,5000,15000,This products are made only for COVID-19
578,"M/s Lofty Optical Industries,Sea Laards Building, Pudukadai, Kanyakumari - 629171loftyindia@gmail.com",Swamidhas9488977515,Manufacturer,PPE KITS,0,12000,COVID 19 PROTECTIVE GOGGLES (SURGICAL SAFETY GLASS)
579,"M/s Pothigai Siddhar Devaamirth,3/93B First floor Anantha vilas Church street Konamkadu 629803psdevaamirth@gmail.com",Thulasi Moni9597178514,Manufacturer,Pillows,500,1000,This products are made only for COVID-19
580,"M/s Pothigai Siddhar Devaamirth,3/93B First floor Anantha vilas Church street Konamkadu 629803psdevaamirth@gmail.com",Thulasi Moni9597178514,Manufacturer,Sanitizer (Alcohol Based),5000,5000,This products are made only for COVID-19
581,"M/s Meraki Groups,No.6/50D, Puthugramam, Kanyakumari - 629 702groups.meraki@gmail.com",Harun M9944514362,Supplier,3Ply Surgical Masks,2000,10000,
582,"M/s Stella Maris Institute of Development Studies (SMIDS),PB.No.4, Kottakarai Road, Kanyakumari - 629702smidskk@gmail.com",Sr. Archana Das DM9443975588,Manufacturer,3Ply Surgical Masks,4000,25000,Prompt and quick supply...
District Name: Karur,,,,,,,
583,"M/s Geeyeahome,#3, Kamarajapuram west, Karur 639002.Anandh@purplebeddings.com",Anandh.B9940809999,Manufacturer,Pillows,800,2000,
584,"M/s SUMMERRAIN EXPORTS PVT LTD,No 42C A1 FIRST FLOOR, PERIYAR NAGAR, 2ND CROSS KARUR 639002MARKETING@SUMMERRAIN.CO.IN",NALLASIVAM6380025319,Manufacturer,Pillows,2,500,"WE ARE ONE OF THE HOSPITAL TEXTILE MANUFACTURER INCLUDING BED SHEETS, PILLOW COVERS AND UNIFORMS.
CURRENTLY WE ARE MANUFACTURING 65 GSM WHITE COVER ALL"
585,"M/s SUMMERRAIN EXPORTS PVT LTD,No 42C A1 FIRST FLOOR, PERIYAR NAGAR, 2ND CROSS KARUR 639002MARKETING@SUMMERRAIN.CO.IN",NALLASIVAM6380025319,Manufacturer,PPE KITS,2000,1500,"WE ARE ONE OF THE HOSPITAL TEXTILE MANUFACTURER INCLUDING BED SHEETS, PILLOW COVERS AND UNIFORMS.
CURRENTLY WE ARE MANUFACTURING 65 GSM WHITE COVER ALL"
586,"M/s ADDA INDUSTRIES,No. 139, 
Raja Nagar, 
4th Cross, 
Ramanoor, 
Karur - 639004addaindustries@gmail.com",Aarthi Vimalathithan9489483627,Manufacturer,3Ply Surgical Masks,80000,500000,3 Ply mask
587,"M/s Kavasam Enterprises,105 E Perumalpatti, Achimangalam Village, Kodangipatti, Karur - 639005bommurajkrr@gmail.com",Bommuraj9790555171,Manufacturer,3Ply Surgical Masks,50000,50000,STOCKS AVAILABLE
588,"M/s Kavasam Enterprises,105 E Perumalpatti, Achimangalam Village, Kodangipatti, Karur - 639005bommurajkrr@gmail.com",Bommuraj9790555171,Manufacturer,Hospital Matresses,1000,3000,STOCKS AVAILABLE
589,"M/s Shree Saravana Textiles,1/134-1, SF No. 28/G, 30/1A, Salem Byepass road, Andankovil East Village, Thanthoni Block, KarurShreesaravanatextiles@gmail.com",Saravanan9443136067,Manufacturer,Hospital Matresses,142,78,
590,"M/s Kavasam Enterprises,105 E Perumalpatti, Achimangalam Village, Kodangipatti, Karur - 639005bommurajkrr@gmail.com",Bommuraj9790555171,Manufacturer,Pillows,1000,3000,STOCKS AVAILABLE
591,"M/s Abhinav Fabrics,8/84, M P Nagar, Andan kovil west, Karurabhinavfabrics@gmail.com",Nallamuthu9994367002,Manufacturer,PPE KITS,15000,7000,
592,"M/s Skyflex Mattress,4, Covai Road, Bus stand South Side, Sengunthapuram, karurskyflex@gmail.com",Bathresh7708372222,Manufacturer,Pillows,320,520,Mattress also available
593,"M/s Shree Saravana Textiles,1/134-1, Salem Bye pass road, Andankovil east Village, Thanthoni block, karurShreesaravanatextiles@gmail.com",Saravanan9443136067,Manufacturer,Pillows,450,650,Matress also available
594,"M/s Signature Fab,No. 43, Muthu Nagar, Sengunthapuram post, Karur - 639001gandhimathybala@gmail.com",Mrs. Gandhimathy9597916333,Manufacturer,PPE KITS,550,3500,PPE Kit
595,"M/s Coimbatore Cotton Concepts &Designs Private Limited,13, Nethaji Road, Lakshmi Mills Colony, Avarampalayam, Coimbatore - 641018.sekar@cottonconcepts.cc",S.Gnanasekar9629196091,Manufacturer,PPE KITS,1000,10000,"All Products are Against Order Only, If ordered will be delivered within a Week."
596,"M/s Coimbatore Cotton Concepts &Designs Private Limited,13, Nethaji Road, Lakshmi Mills Colony, Avarampalayam, Coimbatore - 641018.sekar@cottonconcepts.cc",S.Gnanasekar9629196091,Manufacturer,3Ply Surgical Masks,5000,500000,"All Products are Against Order Only, If ordered will be delivered within a Week."
597,"M/s Coimbatore Cotton Concepts &Designs Private Limited,13, Nethaji Road, Lakshmi Mills Colony, Avarampalayam, Coimbatore - 641018.sekar@cottonconcepts.cc",S.Gnanasekar9629196091,Manufacturer,Pillows,1000,5000,"All Products are Against Order Only, If ordered will be delivered within a Week."
598,"M/s JBT Foams Pvt. Ltd,SF No. 173, AG Pudur, Mookanakurichi, Karur -2jbtfoams@gmail.com",Jayabal7708372222,Manufacturer,Pillows,500,120,Mattresses also available
599,"M/s Dheerha Sanitizer Products,4/22-1 Periyamathiyakudalur Post,Guldalur west,Chinna Dharapuramdheerhasanitizerproducts@gmail.com",Dheerha Sanitizer Products9443030126,Manufacturer,Sanitizer (Alcohol Based),5000,25000,We manufacture 80% as well as 70% alcohol rich Sanitizer.
600,"M/s Geeyeahome,#3, Kamarajapuram west, Karur 639002.Anandh@purplebeddings.com",Anandh.B9940809999,Manufacturer,PPE KITS,3000,5500,
601,"M/s Geeyeahome,#3, Kamarajapuram west, Karur 639002.Anandh@purplebeddings.com",Anandh.B9940809999,Manufacturer,Hospital Matresses,272,300,
602,"M/s KARUR COTTON FABRICS,87 A, GAYATHRI NAGAR, KARUR, Karur, Tamil Nadu, 639002sivasubramaniansuganthy@gmail.com",SIVASUBRAMANIAN SUGANTHY9750682777,Supplier,Sanitizer (Alcohol Based),300,100,"To solve the financial crises of our employees, we are employed with half people in need of the Govt support.
Expecting the Govt to help us."
603,"M/s KARUR COTTON FABRICS,87 A, GAYATHRI NAGAR, KARUR, Karur, Tamil Nadu, 639002sivasubramaniansuganthy@gmail.com",SIVASUBRAMANIAN SUGANTHY9750682777,Supplier,Pillows,2000,500,"To solve the financial crises of our employees, we are employed with half people in need of the Govt support.
Expecting the Govt to help us."
604,"M/s KARUR COTTON FABRICS,87 A, GAYATHRI NAGAR, KARUR, Karur, Tamil Nadu, 639002sivasubramaniansuganthy@gmail.com",SIVASUBRAMANIAN SUGANTHY9750682777,Supplier,Hospital Matresses,500,200,"To solve the financial crises of our employees, we are employed with half people in need of the Govt support.
Expecting the Govt to help us."
605,"M/s SIGNATURE FAB,No.43muthunagar 1st floor, near krt Lorry office, sengunthapuram post,karur 2gandhimathybala@gmail.com",Gandhimathy9597916333,Manufacturer,PPE KITS,300,1000,Covid19 ppe kits is making 75gsm coating white colour nonwoven fabric. This is water proof
606,"M/s SIGNATURE FAB,No.43muthunagar 1st floor, near krt Lorry office, sengunthapuram post,karur 2gandhimathybala@gmail.com",Gandhimathy9597916333,Manufacturer,PPE KITS,,,Covid19 ppe kits is making 75gsm coating white colour nonwoven fabric. This is water proof
607,"M/s JBT Foams Pvt. Ltd,SF No. 173, AG Pudur, Mookanankurichi, Karurjbtfoams@gmail.com",Jayabal7708372222,Manufacturer,Hospital Matresses,120,70,
608,"M/s Fusion Fabz,520/4, J. J. Garden, E.B. Colony, North Gandhigramam,fusionfabz@gmail.com",Revathi R9952555403,Manufacturer,Pillows,500,7000,"We are into the Manufacturing of Surgical Facemask (with Certification), Re-usable Cloth Facemask, Bed Sheets, Pillows, etc."
609,"M/s Fusion Fabz,520/4, J. J. Garden, E.B. Colony, North Gandhigramam,fusionfabz@gmail.com",Revathi R9952555403,Manufacturer,3Ply Surgical Masks,100000,50000,"We are into the Manufacturing of Surgical Facemask (with Certification), Re-usable Cloth Facemask, Bed Sheets, Pillows, etc."
610,"M/s ABHINAV-A-MEDITEX,#8/85,M.P.NAGAR,KOVAI ROAD,ANDANKOVIL WEST POST,KARUR-639008,TAMILNADUsales@abhinavfabrics.com",P.NALLAMUTHU9994367002,Manufacturer,Pillows,500,1000,"We Abhinav-A-Meditex ,Karur we are into medical textiles for past 15 years."
611,"M/s ABHINAV-A-MEDITEX,#8/85,M.P.NAGAR,KOVAI ROAD,ANDANKOVIL WEST POST,KARUR-639008,TAMILNADUsales@abhinavfabrics.com",P.NALLAMUTHU9994367002,Manufacturer,Hospital Matresses,75,100,"We Abhinav-A-Meditex ,Karur we are into medical textiles for past 15 years."
612,"M/s ABHINAV-A-MEDITEX,#8/85,M.P.NAGAR,KOVAI ROAD,ANDANKOVIL WEST POST,KARUR-639008,TAMILNADUsales@abhinavfabrics.com",P.NALLAMUTHU9994367002,Manufacturer,PPE KITS,20000,18000,"We Abhinav-A-Meditex ,Karur we are into medical textiles for past 15 years."
613,"M/s ABHINAV FABRICS,#8/84,M.P.NAGAR,KOVAI ROAD,ANDANKOVIL WEST POST,KARUR-639008sales@abhinavfabrics.com",P.NALLAMUTHU9994367002,Manufacturer,Pillows,500,1000,"we Manufacturers of HOSPITAL TEXTILES for last 15 years ,our products are Operation theatre dresses,patient dress , bed sheets , pillows &  mattresses now covid-19 ppe"
614,"M/s ABHINAV FABRICS,#8/84,M.P.NAGAR,KOVAI ROAD,ANDANKOVIL WEST POST,KARUR-639008sales@abhinavfabrics.com",P.NALLAMUTHU9994367002,Manufacturer,Hospital Matresses,75,200,"we Manufacturers of HOSPITAL TEXTILES for last 15 years ,our products are Operation theatre dresses,patient dress , bed sheets , pillows &  mattresses now covid-19 ppe"
615,"M/s ABHINAV FABRICS,#8/84,M.P.NAGAR,KOVAI ROAD,ANDANKOVIL WEST POST,KARUR-639008sales@abhinavfabrics.com",P.NALLAMUTHU9994367002,Manufacturer,PPE KITS,20000,18000,"we Manufacturers of HOSPITAL TEXTILES for last 15 years ,our products are Operation theatre dresses,patient dress , bed sheets , pillows &  mattresses now covid-19 ppe"
616,"M/s AVANI FELTZ INC,7A, VELLAMMAL LAYOUT, SENGUNTHAPURAM POST, KARUR, TAMIL NADU-639002avanibalu@gmail.com",K BALAMURUGAN9600858333,Manufacturer,Pillows,5000,25000,We have imported 30 hot seam sealing machines with that we can produce around 5000 Hot Seamed Sealed PPE Coveralls per day. We can supply as PPE KITS as well.
